NAME
ITEMS
Tandoori Chicken Breast
Palak Paneer
Daal
Vegetable Korma
Onion bhaji
Mango chutney
Cucumber raita
Chicken korma
Beef kheema
Chicken dhansk
Rogan josh
Chicken curry
""""Chicken tikka masala""""
""""Vegetable biriyani""""
Aloo saag
Vegetable curry
Aloo gabi
Tandoori chicken
Rice
Coconut water
Pav Bhaji
Paneer Bhurji
Falooda
Butter Chicken
Chole Bhature
Ras Mallai
Jalebi
Halwa
Barfi
Chicken Curry
Chicken Tikka Masala
Onion Bhaji
Milk
Cream
Cheese
Boiled Carrot
Chicken Biryani 
lassi
Fruit Bowl
Masala Upma
Paneer Roll
Chowmin
Chilli Paneer
Sanat Fe Salad
Chicken Sandwich
Chicken ceaser Salad
chicken tikka
Grilled chicken 
Coffee
Poha
Ice - Cream
Chaat
Dal Makhani
Chhole Bhature
Sambhar
Dal Khichdi
Paratha
Gobi Paratha
Aloo Paratha
Dal Fry
Rajma Bowl
Pan Cake
Choco Lava Cake
Party Cake
White sauce Pasta
Red sauce Pasta
Coke
Diet Coke
French Fries
Paneer Butter Masala
Kadhai Paneer
Shahi Paneer
Chicken Burger
Naan Bread
Vegetable samosa
Lime pickle
Veg Burger
Aloo Tikki Burger
Cold Coffee
Poppadom
Chapati
Chicken Roll
Anar Juice
Kitkat Milkshake
Oreo Milkshake
Vanilla Milkshake
Banana Milkshake
Orange Juice
Sandwich Grilled Cheese
Sandwich Grilled Cheese
Veg Sandwich
Pizza (Per SLICE )
Puri
Masala Dosa
Idli (Per Peice)
Momos 
Mendu Vada
Golgappe
Dahi Bhalle (Bade)
Tea
Tandoori Chicken Breast
Palak Paneer
Daal
Vegetable Korma
Onion bhaji
Mango chutney
Cucumber raita
Chicken korma
Beef kheema
Chicken dhansk
Rogan josh
Chicken curry
""""Chicken tikka masala""""
""""Vegetable biriyani""""
Aloo saag
Vegetable curry
Aloo gabi
Tandoori chicken
Rice
Coconut water
Pav Bhaji
Paneer Bhurji
Falooda
Butter Chicken
Chole Bhature
Ras Mallai
Jalebi
Halwa
Barfi
Chicken Curry
Chicken Tikka Masala
Onion Bhaji
Milk
Cream
Cheese
Boiled Carrot
Chicken Biryani 
lassi
Fruit Bowl
Masala Upma
Paneer Roll
Chowmin
Chilli Paneer
Sanat Fe Salad
Chicken Sandwich
Chicken ceaser Salad
chicken tikka
Grilled chicken 
Coffee
Poha
Ice - Cream
Chaat
Dal Makhani
Chhole Bhature
Sambhar
Dal Khichdi
Paratha
Gobi Paratha
Aloo Paratha
Dal Fry
Rajma Bowl
Pan Cake
Choco Lava Cake
Party Cake
White sauce Pasta
Red sauce Pasta
Coke
Diet Coke
French Fries
Paneer Butter Masala
Kadhai Paneer
Shahi Paneer
Chicken Burger
Naan Bread
Vegetable samosa
Lime pickle
Veg Burger
Aloo Tikki Burger
Cold Coffee
Poppadom
Chapati
Chicken Roll
Anar Juice
Kitkat Milkshake
Oreo Milkshake
Vanilla Milkshake
Banana Milkshake
Orange Juice
Sandwich Grilled Cheese
Sandwich Grilled Cheese
Veg Sandwich
Pizza (Per SLICE )
Puri
Masala Dosa
Idli (Per Peice)
Momos 
Mendu Vada
Golgappe
Dahi Bhalle (Bade)
Tea
